cluster,Name,S_pc,Z,Z_e,log_age,log_age_e,V_esc_km/s,V_rel_km/s,V_rel_e,V_esc_e,a_kpc,e,p_Myr,i_deg,rt_pc,rt_e,R_roc_pc,R_J_pc,S_pc.1,origin,Status
20,BDSB_93,22.24228976,0.0480666,0.014026488,6.599883072,0.17159696,8.436637039,10.77993325,1.233620565,5.699971898,7.594993628,0.069996487,0.598408045,80.42626334,25.28731147,39.74687606,7.585603555,6.338803687,22.24228976,Y,Detached
20,HSC_1740,22.24228976,0.0480666,0.014026488,6.599883072,0.17159696,8.436637039,10.77993325,1.233620565,5.699971898,7.647141953,0.071593017,0.604581747,80.65614596,5.188845466,0.147785308,5.852580629,4.961437083,22.24228976,Y,Detached
47,Berkeley_62,92.06874137,0.0480666,0.014026488,6.609594409,0.171849455,9.362579469,8.354897608,1.504907616,3.587071233,13.40763662,0.254964853,1.40357185,85.06101154,15.00461266,0.645525474,10.04774864,8.056729273,92.06874137,Y,Detached
47,NGC_366,92.06874137,0.0480666,0.014026488,6.640481437,0.172652517,9.362579469,8.354897608,1.504907616,3.587071233,13.37420479,0.270634201,1.398325433,85.40346944,5.185542219,0.098375873,14.99747474,11.91201139,92.06874137,Y,Detached
52,Berkeley_81,151.9154794,0.0270298,0.007887664,9.220108088,0.23972281,11.9063765,7.880577632,1.787994106,3.980956157,12.15694337,0.141167613,1.211833332,106.8541809,8.833853761,0.128886333,11.33645806,10.72667881,151.9154794,Y,Detached
52,HSC_320,151.9154794,0.0152,0.004435567,8.650307523,0.224907996,11.9063765,7.880577632,1.787994106,3.980956157,16.4362675,0.156687988,1.905070728,91.89463112,12.50832249,0.673078209,8.875947942,8.424575604,151.9154794,Y,Detached
71,CWNU_352,73.00343481,0.0480666,0.014026488,7.450249108,0.193706477,7.052364965,21.72210409,0.930243207,5.664932255,7.563921488,0.037918217,0.594739552,86.15479148,10.29717087,4.92228135,6.856537726,6.056488578,73.00343481,N,Detached
71,CWNU_95,73.00343481,0.0152,0.004435567,7.301029996,0.18982678,7.052364965,21.72210409,0.930243207,5.664932255,7.678450285,0.024911378,0.608298392,88.83483596,13.7624157,1.058997051,8.003847412,7.063338039,73.00343481,N,Detached
77,Collinder_107,122.7365274,0.0152,0.004435567,6.92992956,0.180178169,6.597950989,18.26709547,0.961017044,3.231799834,7.532681443,0.041496265,0.591058824,79.28225751,26.0845146,3.389679655,9.948818482,7.988691295,122.7365274,Y,Detached
77,CWNU_239,122.7365274,0.0152,0.000443557,7.301029996,0.18982678,6.597950989,18.26709547,0.961017044,3.231799834,7.347342487,0.050905161,0.569379373,80.36742252,5.774075373,0.345880187,11.74139264,9.461577518,122.7365274,Y,Detached
81,CWNU_361,46.92113828,0.0085476,0.002494306,8.920123326,0.231923206,11.66454717,7.308263734,2.069208967,2.852521993,13.14961712,0.225794249,1.363251438,88.10746767,11.0325284,1.671175379,6.752863052,5.618359629,46.92113828,N,Detached
81,NGC_1582,46.92113828,0.0480666,0.014026488,8.201397124,0.213236325,11.66454717,7.308263734,2.069208967,2.852521993,13.59059542,0.201632905,1.432399066,85.25744798,16.61154367,1.758398387,13.32673969,10.91927476,46.92113828,N,Detached
84,CWNU_427,172.0639591,0.0270298,0.007887664,8.459392488,0.219944205,8.766821798,9.745014098,1.466437743,3.643707364,10.31261375,0.095554106,0.946802575,92.22140806,224.249903,546.6334957,8.739828118,7.542242682,172.0639591,Y,Detached
84,UBC_136,172.0639591,0.0270298,0.007887664,8.760422483,0.227770985,8.766821798,9.745014098,1.466437743,3.643707364,10.62895837,0.096338564,0.990700454,92.6971237,20.44763323,2.53334979,14.3389827,12.39943179,172.0639591,Y,Detached
