cluster,Name,Metal,M_e,log_age,log_age_e,dg,mass,e_mass,rt_pc,e_rt_pc,R_J_pc,a_kpc,e,p_Myr,i_deg,S,V_esc_km/s,V_esc_err,V_rel_km/s,V_rel_err,R_roc
14,Alessi_80B,0.0480666,0.014026488,7.320146286,0.190323803,10.63217821,288,57,33.03455613,13.66786767,7.091128316,8.616746335,0.055921395,0.723138135,92.47039929,54.06647178,12.39865995,1.886315261,18.11890101,2.175018945,7.830921947
14,CWNU_275,0.0152,0.004435567,7.480006943,0.194480181,10.7441992,678,135,45.10194813,20.59915696,9.439470428,8.533480641,0.061137417,0.712681712,88.60222253,54.06647178,12.39865995,1.886315261,18.11890101,2.175018945,10.45132108
17,Antalova_1,0.0480666,0.014026488,7.579783597,0.197074374,12.83736765,134,26,32.70828021,5.640028888,5.302002686,9.821309408,0.095799171,0.879954857,94.85348212,68.50511089,8.438791242,1.341417042,44.48887262,2.809006855,5.814212632
17,Theia_2803,0.0480666,0.014026488,6.910090546,0.179662354,14.80888816,433,86,35.54916437,9.593955364,7.691268766,8.183058582,0.011227491,0.669236768,99.29396963,68.50511089,8.438791242,1.341417042,44.48887262,2.809006855,8.60444716
18,Antalova_2,0.0270298,0.007887664,7.068185862,0.183772832,9.961134228,109,21,11.07216783,1.950706253,5.16177132,8.423993485,0.034471237,0.699009916,94.44068413,151.1257421,3.626494036,0.501854223,18.62562074,5.365396163,5.723011698
18,UFMG_95,0.0152,0.004435567,7.480006943,0.194480181,10.86120417,122,24,9.394208917,0.503312192,5.32787329,8.465129339,0.020929115,0.704136245,88.16753445,151.1257421,3.626494036,0.501854223,18.62562074,5.365396163,5.942069047
19,BDSB_30,0.0270298,0.007887664,7.06069784,0.183578144,9.712868716,447,89,6.432843982,1.18266644,9.201206287,9.864897353,0.151524429,0.885819342,89.91214024,50.40001706,19.05094351,3.116488465,14.56926011,7.803800938,10.60802714
19,OC_0185,0.0270298,0.007887664,7.519827994,0.195515528,9.354980946,1679,335,31.93803047,0.589138951,14.31600252,9.818131831,0.170976679,0.879527842,90.75893596,50.40001706,19.05094351,3.116488465,14.56926011,7.803800938,16.86622134
20,BDSB_93,0.0480666,0.014026488,6.599883072,0.17159696,11.06257816,124,24,25.28731147,39.74687606,6.338803687,7.594993628,0.069996487,0.598408045,80.42626334,22.24228976,8.436637039,1.233620565,10.77993325,5.699971898,7.585603555
20,HSC_1740,0.0480666,0.014026488,6.599883072,0.17159696,14.54984645,60,12,5.188845466,0.147785308,4.961437083,7.647141953,0.071593017,0.604581747,80.65614596,22.24228976,8.436637039,1.233620565,10.77993325,5.699971898,5.852580629
21,BDSB_96,0.0270298,0.007887664,7.301029996,0.18982678,9.260242642,1846,369,14.12194246,1.288072148,15.35919359,7.466949046,0.034477635,0.583339096,81.70238245,122.8325722,12.63471908,2.107898657,39.26684618,7.337873529,18.63212156
21,Theia_3581,0.0270298,0.007887664,7.439332694,0.19342265,10.68164824,433,86,87.08016437,108.2959993,9.412280344,7.665610637,0.047918466,0.606773265,84.08494463,122.8325722,12.63471908,2.107898657,39.26684618,7.337873529,11.46786933
22,BDSB_124,0.0480666,0.014026488,8.209515015,0.21344739,13.55173025,1989,397,9.339804579,1.04519921,12.47670426,19.87389514,0.267472774,2.532974362,82.70869753,407.2532462,7.909283219,1.18360781,74.25358059,3.561507049,12.32468939
